==========================================================================================
CRYPTIANA VATICAN MATRIX: CUDA Deep Space (KryptosBot Strict Scoring)
==========================================================================================

Generating periodic keys...
Targeting 475,254 periodic keys per alphabet.

Igniting GPU Sweep...
TOTAL PROCESSED      | SPEED                | BATCH TIME   | HITS FOUND
4.41 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.41 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.41 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.41 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.41 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.42 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.42 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.42 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.42 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.42 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.43 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.43 Trillion        | 423 M/sec            |  4.72s       |     0 hits
4.43 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.43 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.43 Trillion        | 422 M/sec            |  4.72s       |     0 hits
4.44 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.44 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.44 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.44 Trillion        | 422 M/sec            |  4.72s       |     0 hits
4.44 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.45 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.45 Trillion        | 423 M/sec            |  4.72s       |     0 hits
4.45 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.45 Trillion        | 423 M/sec            |  4.72s       |     0 hits
4.45 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.46 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.46 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.46 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.46 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.46 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.47 Trillion        | 423 M/sec            |  4.72s       |     0 hits
4.47 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.47 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.47 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.47 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.48 Trillion        | 423 M/sec            |  4.72s       |     0 hits
4.48 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.48 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.48 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.48 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.49 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.49 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.49 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.49 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.49 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.50 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.50 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.50 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.50 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.50 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.51 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.51 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.51 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.51 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.51 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.52 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.52 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.52 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.52 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.52 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.53 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.53 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.53 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.53 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.53 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.54 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.54 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.54 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.54 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.54 Trillion        | 421 M/sec            |  4.75s       |     0 hits
4.55 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.55 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.55 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.55 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.55 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.56 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.56 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.56 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.56 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.56 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.57 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.57 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.57 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.57 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.57 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.57 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.58 Trillion        | 420 M/sec            |  4.75s       |     0 hits
4.58 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.58 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.58 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.58 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.59 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.59 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.59 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.59 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.59 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.60 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.60 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.60 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.60 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.60 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.61 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.61 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.61 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.61 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.61 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.62 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.62 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.62 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.62 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.62 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.63 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.63 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.63 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.63 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.63 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.64 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.64 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.64 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.64 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.64 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.65 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.65 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.65 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.65 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.65 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.66 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.66 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.66 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.66 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.66 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.67 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.67 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.67 Trillion        | 418 M/sec            |  4.77s       |     0 hits
4.67 Trillion        | 419 M/sec            |  4.77s       |     0 hits
4.67 Trillion        | 420 M/sec            |  4.75s       |     0 hits
4.68 Trillion        | 420 M/sec            |  4.75s       |     0 hits
4.68 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.68 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.68 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.68 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.69 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.69 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.69 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.69 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.69 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.70 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.70 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.70 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.70 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.70 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.71 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.71 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.71 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.71 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.71 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.72 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.72 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.72 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.72 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.72 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.73 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.73 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.73 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.73 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.73 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.74 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.74 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.74 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.74 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.74 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.75 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.75 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.75 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.75 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.75 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.76 Trillion        | 420 M/sec            |  4.75s       |     0 hits
4.76 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.76 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.76 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.76 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.77 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.77 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.77 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.77 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.77 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.78 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.78 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.78 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.78 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.78 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.79 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.79 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.79 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.79 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.79 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.80 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.80 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.80 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.80 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.80 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.81 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.81 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.81 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.81 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.81 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.82 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.82 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.82 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.82 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.82 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.83 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.83 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.83 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.83 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.83 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.84 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.84 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.84 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.84 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.84 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.85 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.85 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.85 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.85 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.85 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.86 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.86 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.86 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.86 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.86 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.87 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.87 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.87 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.87 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.87 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.88 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.88 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.88 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.88 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.88 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.89 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.89 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.89 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.89 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.89 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.90 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.90 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.90 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.90 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.90 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.91 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.91 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.91 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.91 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.91 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.92 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.92 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.92 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.92 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.92 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.93 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.93 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.93 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.93 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.93 Trillion        | 420 M/sec            |  4.75s       |     0 hits
4.94 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.94 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.94 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.94 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.94 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.95 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.95 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.95 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.95 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.95 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.96 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.96 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.96 Trillion        | 418 M/sec            |  4.77s       |     0 hits
4.96 Trillion        | 419 M/sec            |  4.77s       |     0 hits
4.96 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.97 Trillion        | 420 M/sec            |  4.76s       |     0 hits
4.97 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.97 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.97 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.97 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.98 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.98 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.98 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.98 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.98 Trillion        | 421 M/sec            |  4.74s       |     0 hits
4.99 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.99 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.99 Trillion        | 422 M/sec            |  4.74s       |     0 hits
4.99 Trillion        | 422 M/sec            |  4.73s       |     0 hits
4.99 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.00 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.00 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.00 Trillion        | 422 M/sec            |  4.74s       |     0 hits
5.00 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.00 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.01 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.01 Trillion        | 420 M/sec            |  4.75s       |     0 hits
5.01 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.01 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.01 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.02 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.02 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.02 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.02 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.02 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.03 Trillion        | 422 M/sec            |  4.74s       |     0 hits
5.03 Trillion        | 422 M/sec            |  4.74s       |     0 hits
5.03 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.03 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.03 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.04 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.04 Trillion        | 420 M/sec            |  4.75s       |     0 hits
5.04 Trillion        | 420 M/sec            |  4.75s       |     0 hits
5.04 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.04 Trillion        | 421 M/sec            |  4.75s       |     0 hits
5.05 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.05 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.05 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.05 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.05 Trillion        | 422 M/sec            |  4.74s       |     0 hits
5.06 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.06 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.06 Trillion        | 422 M/sec            |  4.74s       |     0 hits
5.06 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.06 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.07 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.07 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.07 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.07 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.07 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.08 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.08 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.08 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.08 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.08 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.09 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.09 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.09 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.09 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.09 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.10 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.10 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.10 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.10 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.10 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.11 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.11 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.11 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.11 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.11 Trillion        | 420 M/sec            |  4.75s       |     0 hits
5.12 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.12 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.12 Trillion        | 422 M/sec            |  4.74s       |     0 hits
5.12 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.12 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.13 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.13 Trillion        | 421 M/sec            |  4.75s       |     0 hits
5.13 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.13 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.13 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.14 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.14 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.14 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.14 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.14 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.15 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.15 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.15 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.15 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.15 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.16 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.16 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.16 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.16 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.16 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.17 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.17 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.17 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.17 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.17 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.18 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.18 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.18 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.18 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.18 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.19 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.19 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.19 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.19 Trillion        | 422 M/sec            |  4.74s       |     0 hits
5.19 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.20 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.20 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.20 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.20 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.20 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.21 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.21 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.21 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.21 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.21 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.22 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.22 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.22 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.22 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.22 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.23 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.23 Trillion        | 422 M/sec            |  4.74s       |     0 hits
5.23 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.23 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.23 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.24 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.24 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.24 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.24 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.24 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.25 Trillion        | 422 M/sec            |  4.74s       |     0 hits
5.25 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.25 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.25 Trillion        | 418 M/sec            |  4.78s       |     0 hits
5.25 Trillion        | 421 M/sec            |  4.74s       |     0 hits
5.26 Trillion        | 420 M/sec            |  4.75s       |     0 hits
5.26 Trillion        | 420 M/sec            |  4.76s       |     0 hits
5.26 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.26 Trillion        | 421 M/sec            |  4.75s       |     0 hits
5.26 Trillion        | 420 M/sec            |  4.75s       |     0 hits
5.27 Trillion        | 422 M/sec            |  4.73s       |     0 hits
5.27 Trillion        | 422 M/sec            |  4.73s       |     0 hits
